!Keysight Technologies,E4990A,MY54303088,A.03.06
!Date: Mon Jul 10 16:24:01 2023

BEGIN CH1_DATA
Frequency(Hz), |Z|(Ohm)-data, theta-z(deg)-data
+6.42769403980e+007, +8.20002209673e+001, -6.20204500412e+001
+6.94937827570e+007, +7.72276426643e+001, -6.04532077379e+001
+7.51340342580e+007, +7.37084030880e+001, -5.94471122439e+001
+8.12320596160e+007, +6.92926618594e+001, -5.76698911452e+001
+8.78250126540e+007, +6.61320259109e+001, -5.66376034941e+001
+9.49530626730e+007, +6.20388181022e+001, -5.45941186074e+001
+1.02659639190e+008, +5.86263301516e+001, -5.28792328639e+001
+1.10991696549e+008, +5.53723448365e+001, -5.10981843567e+001
+1.20000000000e+008, +5.20760799552e+001, -4.90581729063e+001
END
